customer_id,month,transaction_count,avg_balance,total_spend,mobile_logins,branch_visits
14473139,2025-11,36.0,4180.8,1694.27,11.0,1.0
84044453,2026-03,35.0,3067.72,887.85,21.0,0.0
30814469,2026-03,36.0,4767.73,681.57,21.0,0.0
68669864,2025-10,30.0,9671.12,2026.71,13.0,0.0
86255606,2025-12,34.0,3109.86,1244.86,30.0,0.0
76900157,2025-10,24.0,1833.07,1022.96,8.0,2.0
36427497,2026-05,46.0,4334.33,3860.57,38.0,1.0
25281681,2025-10,35.0,2125.12,1531.78,21.0,2.0
66354323,2025-10,20.0,3362.16,926.7,5.0,1.0
43502065,2025-07,38.0,7504.54,1860.12,24.0,0.0
14534170,2026-03,32.0,3743.76,1437.15,13.0,1.0
17762926,2025-09,20.0,2291.04,543.98,11.0,0.0
83415678,2025-12,16.0,2364.36,75.93,11.0,1.0
63084222,2025-06,34.0,3194.42,374.93,22.0,0.0
96281507,2025-10,22.0,2055.86,940.14,,2.0
50339119,2025-07,29.0,4596.91,628.88,6.0,2.0
81368950,2025-07,15.0,4449.73,684.35,7.0,2.0
24026780,2026-03,39.0,3623.34,646.1,11.0,0.0
61052808,2025-08,7.0,2870.29,62.36,1.0,1.0
81409728,2026-04,23.0,2757.3,2094.04,14.0,1.0
16044754,2025-12,46.0,8693.52,3421.17,25.0,2.0
93256426,2026-05,53.0,5433.77,,25.0,1.0
72362648,2026-01,45.0,1392.99,593.56,33.0,1.0
84482697,2025-07,36.0,3107.79,1017.26,21.0,0.0
32204845,2026-04,50.0,8799.01,3549.36,25.0,0.0
37401016,2025-11,23.0,4878.65,1611.83,10.0,0.0
40799091,2025-11,34.0,4362.69,1006.49,29.0,0.0
70992531,2026-04,38.0,2000.58,1023.28,21.0,
26397304,Jul-2025,41.0,,2644.45,16.0,4.0
22419390,2026-04,34.0,1787.12,919.51,24.0,0.0
93319464,Sep-2025,27.0,2338.54,924.67,4.0,0.0
47614265,2026-03,32.0,4348.34,1059.43,17.0,1.0
21450174,2025-12,38.0,8747.79,3643.42,33.0,1.0
91224087,2025-06,44.0,3165.6,2221.19,29.0,0.0
64056896,2025-07,28.0,4589.78,1292.69,14.0,0.0
80194800,2026-01,10.0,2016.0,160.89,6.0,2.0
26850930,2026-04,57.0,4346.94,3504.75,47.0,1.0
43674876,2025-06,49.0,4692.87,3556.61,37.0,1.0
21982388,2026-04,38.0,3480.91,794.49,28.0,0.0
70384175,2026-02,51.0,4929.84,5552.07,20.0,0.0
78365442,2025-11,26.0,,602.33,15.0,1.0
79173514,2026-04,45.0,2964.92,2135.84,21.0,1.0
28897743,2025-06,12.0,2774.65,398.99,3.0,0.0
23758473,2026-05,31.0,2842.32,709.9,17.0,1.0
15000891,2025-07,37.0,2738.71,,16.0,1.0
15104180,2025-08,40.0,5308.18,1125.46,23.0,0.0
25352558,2026-04,32.0,4061.54,1345.48,15.0,1.0
82041908,2025-12,25.0,5675.24,1538.85,21.0,0.0
89657449,2025-12,49.0,2047.57,1781.22,20.0,1.0
39738277,2026-02,35.0,2136.24,1201.54,26.0,
69335333,2025-12,37.0,772.02,813.43,22.0,1.0
45017757,2026-03,28.0,5137.67,873.48,9.0,0.0
46974503,2025-08,41.0,4232.14,3830.05,,0.0
81164209,2025-12,33.0,5725.42,1622.26,26.0,0.0
19961931,2025-07,25.0,2484.69,1095.39,8.0,0.0
69869035,2026-01,30.0,3463.79,1065.44,,1.0
87058860,2025-09,28.0,4921.95,1346.59,6.0,1.0
97402607,2026-02,57.0,3595.63,1891.91,23.0,0.0
43929496,2026-01,48.0,1696.58,939.49,26.0,0.0
66846437,2025-09,24.0,1649.28,317.48,21.0,0.0
84332703,2025-10,34.0,5912.59,1415.28,24.0,0.0
43941785,2026-02,46.0,7326.21,2336.29,32.0,1.0
70133507,2025-09,35.0,6402.67,866.69,29.0,0.0
77130490,2026-05,37.0,6514.49,1707.93,36.0,0.0
36727140,2025-10,25.0,1131.45,499.96,11.0,0.0
27148853,2026-01,22.0,3511.48,,13.0,0.0
20309373,2025-07,55.0,5118.76,2339.78,15.0,0.0
27813813,2026-02,34.0,2398.4,972.6,24.0,2.0
43240032,2026-01,26.0,4481.69,1741.27,9.0,1.0
78859789,2026-04,19.0,1943.69,288.12,12.0,0.0
43074453,2025-09,12.0,5475.75,450.26,9.0,0.0
49848043,2026-04,40.0,9977.9,4676.19,23.0,0.0
30610837,2025-09,40.0,2128.3,627.93,29.0,0.0
91493750,2025/12,28.0,2801.87,867.08,16.0,4.0
88245031,2025-11,41.0,2229.89,951.07,28.0,1.0
96325343,2025-10,13.0,3479.33,394.8,7.0,0.0
87950872,2026-04,15.0,3934.45,777.68,5.0,0.0
24897114,2026-02,35.0,5638.91,1548.61,23.0,2.0
76445950,2026-01,27.0,2465.93,773.91,23.0,0.0
73942751,2025-07,37.0,5001.59,1584.27,29.0,1.0
83089419,2026-04,28.0,3878.9,958.93,21.0,1.0
94196367,2025-08,27.0,2481.48,199.4,15.0,0.0
50472258,2025-12,58.0,10298.47,5063.99,25.0,1.0
99534926,2025-12,39.0,5987.51,1282.32,26.0,0.0
47340277,2025-11,50.0,2296.83,2762.11,27.0,2.0
66100696,2025-07,17.0,2690.86,667.66,8.0,0.0
12521861,2025-12,31.0,2508.27,1020.76,22.0,0.0
25765835,2026-04,27.0,5519.61,1315.58,8.0,1.0
40019067,2026-02,23.0,1912.34,743.31,7.0,3.0
20096150,2025-09,31.0,6778.31,2922.53,28.0,0.0
32538644,2026-03,33.0,,1822.82,12.0,0.0
63496362,2025-08,53.0,3380.53,3110.31,36.0,0.0
56822679,2025-12,41.0,10634.04,2540.63,17.0,1.0
96631003,2025-10,13.0,2399.74,719.27,7.0,1.0
96454784,2026-05,45.0,6157.01,2471.85,30.0,0.0
38573761,2026-05,23.0,5439.08,1010.63,9.0,0.0
12376153,2025-11,16.0,3054.78,456.79,9.0,1.0
74032676,2025-08,32.0,2894.38,591.55,36.0,0.0
75509008,2026-04,8.0,2372.37,9.97,9.0,1.0
46910667,2026-03,17.0,5199.02,981.91,6.0,0.0
23816879,2026-04,33.0,3560.53,1796.29,23.0,0.0
39420747,2026-01,32.0,2769.84,710.35,11.0,0.0
87177721,2026-03,25.0,3524.63,1113.22,13.0,0.0
76120238,2026-04,33.0,3120.36,1059.13,15.0,0.0
19517501,2026-02,34.0,2706.02,1398.27,23.0,0.0
10139198,2026-04,41.0,3959.74,977.38,25.0,0.0
63071915,2026-04,20.0,5436.13,738.29,12.0,1.0
85776032,2025-10,30.0,1655.84,698.61,19.0,1.0
78558250,2026-02,15.0,5080.12,997.23,3.0,0.0
24588111,2025-12,26.0,1822.83,728.41,4.0,2.0
39272211,2026-02,51.0,7173.03,2376.82,30.0,0.0
82738859,2025-07,41.0,6444.38,697.03,19.0,1.0
48361827,2026-05,52.0,3091.97,1878.6,33.0,0.0
67868621,2026-03,38.0,4277.94,2733.91,23.0,0.0
61361757,2026-01,34.0,772.75,746.35,15.0,1.0
57815514,2025-11,32.0,1714.95,1024.61,20.0,0.0
53935464,2025-09,36.0,3351.95,1435.66,15.0,0.0
82743796,2025-08,24.0,3200.95,507.21,22.0,0.0
74819325,2025-06,37.0,7759.9,,26.0,0.0
22109106,2025-07,45.0,2961.24,1092.56,49.0,0.0
52180203,2025-10,39.0,2623.15,1346.42,32.0,0.0
65325613,2025-07,35.0,3233.55,1249.52,18.0,0.0
38249155,2025-10,36.0,6567.35,1584.31,23.0,0.0
98271158,2025-10,30.0,4465.46,1139.24,18.0,0.0
96307184,2025-10,34.0,2218.65,1516.78,12.0,0.0
38245599,2026-01,14.0,4862.68,613.65,6.0,1.0
56928454,2025-07,13.0,1767.21,238.6,6.0,0.0
46294455,2026-04,55.0,4092.27,1549.42,29.0,2.0
45233316,2025-09,23.0,1986.46,948.82,11.0,0.0
28042461,2025-06,17.0,3407.83,733.47,3.0,1.0
96596667,2025-06,32.0,2967.45,777.39,17.0,0.0
47778864,2026-04,23.0,3928.79,666.66,17.0,0.0
18032139,2025-09,45.0,7245.02,1946.35,26.0,4.0
84942226,2026-02,24.0,3356.99,1081.52,11.0,0.0
48835646,2026-04,38.0,4319.31,2261.36,19.0,1.0
16076479,2025-10,32.0,3185.53,554.78,26.0,0.0
68234550,2026-03,37.0,3165.23,3096.32,16.0,2.0
21898900,2025-12,37.0,6116.14,1561.2,31.0,0.0
69659925,2025-08,17.0,9705.03,1087.83,10.0,1.0
19834997,2025-12,35.0,4546.55,1215.56,10.0,0.0
84288690,2026-05,27.0,1778.31,179.57,13.0,0.0
59333633,2025-06,34.0,7538.9,1140.96,12.0,2.0
37823980,2025-07,43.0,5635.18,1026.55,17.0,0.0
82388835,2025-08,38.0,3428.71,1256.19,34.0,0.0
46435667,2025-12,41.0,3650.96,487.73,23.0,1.0
90259381,2026-01,40.0,7073.23,1623.14,27.0,0.0
40811607,2025-10,18.0,2173.04,912.89,20.0,0.0
13975648,2025-11,32.0,4316.91,1997.3,7.0,1.0
74032676,2026-03,25.0,2549.46,799.44,19.0,0.0
36085715,2025-08,23.0,2604.53,851.16,9.0,1.0
56954047,2025-12,26.0,2916.06,889.97,14.0,0.0
56986441,2026-03,42.0,7032.79,3344.45,27.0,0.0
60056845,2025-11,28.0,6885.59,2009.69,16.0,1.0
56724620,2026-04,22.0,5255.25,518.03,9.0,0.0
56822679,2026-05,44.0,9607.23,2869.19,25.0,0.0
46572851,2025-08,36.0,4353.65,853.86,23.0,1.0
54757309,2025-07,27.0,1719.82,488.15,18.0,0.0
27813813,2026-03,42.0,2602.36,1266.77,26.0,0.0
27332633,2025-11,33.0,4416.76,1286.61,18.0,0.0
46917892,2026-01,17.0,2944.08,720.51,10.0,0.0
36947226,2026-02,32.0,10003.4,3546.16,21.0,0.0
54691966,2026-01,36.0,1780.88,428.83,30.0,0.0
16222568,2026-05,39.0,3262.34," 1,445.89 ",27.0,1.0
91226617,2025-11,35.0,3438.88,613.56,,0.0
28276807,2025-12,30.0,3644.99,831.12,16.0,1.0
52971241,2025-11,39.0,3383.88,673.71,27.0,2.0
16222568,2025-07,21.0,1764.7,757.57,12.0,0.0
96265796,2025/09,27.0,3356.94,547.77,12.0,1.0
13685071,2026-05,25.0,7091.86,688.58,1.0,0.0
83276505,2025-08,23.0,2022.5,380.04,10.0,0.0
65250881,2026-03,41.0,3549.31,919.17,29.0,0.0
36814270,2026-04,40.0,8116.55,3638.56,29.0,1.0
92193986,2025-06,38.0,6952.94,1598.84,24.0,1.0
93310729,2026-01,34.0,4115.46,2405.45,22.0,0.0
64935646,2025-06,37.0,3395.31,939.34,26.0,0.0
70726561,2025-11,12.0,2022.81,39.93,5.0,0.0
72528814,2026-04,11.0,2286.74,410.51,6.0,1.0
57160883,2025-12,45.0,4569.87,3230.76,21.0,0.0
65242351,2025-09,51.0,4867.24,2513.73,26.0,1.0
60035065,2025-06,28.0,3199.94,545.77,12.0,0.0
93967857,2025-07,25.0,3321.62,1422.75,13.0,0.0
11299052,2026-04,36.0,3663.37,1066.62,32.0,1.0
53342572,2025-11,22.0,2420.18,638.13,16.0,0.0
45233828,2025-10,12.0,2639.71,512.68,6.0,0.0
21898900,2026-01,29.0,6451.34,852.47,20.0,0.0
52072696,2025-09,29.0,3057.39,1681.36,18.0,0.0
30814469,2025-06,33.0,4729.52,855.3,27.0,1.0
75312932,2026-03,23.0,964.74,297.19,13.0,1.0
54593998,2025-08,25.0,6148.19,1938.75,12.0,0.0
58811072,2026-03,20.0,3810.24,448.85,10.0,0.0
80818916,2026-04,16.0,2912.66,268.74,5.0,0.0
71114543,2026-02,19.0,3068.64,609.43,5.0,1.0
27467238,2025-08-01,18.0,6172.64,808.38,7.0,1.0
45469924,2025-08,35.0,5371.22,838.22,27.0,0.0
49167363,2025-07,28.0,4428.27,1090.42,10.0,0.0
90376477,Jul-2025,30.0,6120.83,2825.41,23.0,0.0
65829830,2026-05,24.0,3811.83,1250.17,15.0,0.0
21984961,2026-03,21.0,4979.49,906.27,19.0,0.0
98742275,2025-12,22.0,2912.08,729.11,16.0,0.0
40323914,2026-05,33.0,1376.98,559.45,13.0,1.0
97254192,2025-10,30.0,2403.8,195.62,22.0,0.0
58555381,2025-09,31.0,8139.96,2327.73,18.0,1.0
22121938,2025-09,33.0,2250.26,1566.95,23.0,1.0
31212762,2025-09,29.0,6601.52,1589.75,20.0,0.0
61386417,2025-06,30.0,5957.25,1247.67,15.0,0.0
34807166,2025-06,40.0,7117.79,2974.51,13.0,0.0
22829374,2026-05,61.0,3798.36,4614.55,44.0,0.0
68990956,2025-09,48.0,6232.48,5126.23,34.0,0.0
62994753,2026-03,12.0,1619.52,122.28,4.0,0.0
29361803,2026-03,29.0,3380.62,416.92,21.0,0.0
43402564,2026-03,42.0,3375.07,2123.81,21.0,1.0
41362937,2026-03,44.0,4917.28,855.2,18.0,1.0
97602571,2026-01,28.0,4277.64,865.44,4.0,0.0
90503722,2026-01,11.0,2610.54,416.78,8.0,1.0
21322260,2026-05,67.0,4336.38,3673.31,48.0,0.0
21904484,2025-08,27.0,3788.81,2493.65,19.0,0.0
43286673,2026-02,23.0,3284.63,804.09,10.0,0.0
74955349,2026-03,29.0,4367.28,439.02,13.0,1.0
86480066,2026-05,40.0,2546.28,1159.02,19.0,0.0
39555351,2026-04,35.0,4916.97,1717.39,17.0,0.0
80463830,2026-01,52.0,8432.73,3702.65,19.0,0.0
73900413,2025-07,35.0,4495.18,1527.23,11.0,0.0
85121817,2026-02,20.0,1157.65,355.89,12.0,1.0
34939591,2025-06,20.0,1698.48,348.03,13.0,0.0
92369924,2025-06,39.0,4434.65,1493.56,22.0,1.0
13135357,2026-02,25.0,5305.62,859.27,14.0,2.0
72134950,2025-06,45.0,3598.76,1230.59,31.0,0.0
25695648,2025-11,19.0,2598.85,405.94,9.0,2.0
18466163, 2025-07 ,19.0,,0.0,14.0,0.0
19834997,2026-05,42.0,4140.83,564.02,15.0,1.0
99698446,2025-11,39.0,2485.01,1361.05,17.0,0.0
92942171,2026-05,55.0,3892.07,1050.47,39.0,0.0
86440692,2025-11,37.0,622.15,1091.53,9.0,0.0
40913983,2025-06,35.0,3366.3,1641.07,27.0,1.0
96254834,2025-10,29.0,2827.25,376.85,9.0,0.0
76510611,2026-01,38.0,6674.26,806.28,30.0,1.0
38181170,2026-03,,4216.71,1299.8,21.0,0.0
97279689,2025-12,18.0,4144.29,628.96,9.0,0.0
52582745,2025-09,20.0,4020.93,800.25,3.0,0.0
56968347,2025-11,24.0,2844.46,495.1,15.0,0.0
62073948,2025-07,32.0,4322.24,1576.22,13.0,0.0
46909894,2025-11,24.0,2348.01,665.81,4.0,2.0
15845128,2025-12,32.0,6990.74,2290.51,20.0,0.0
52947148, 2025-11 ,34.0,4431.75,4022.34,,0.0
71850828,2025-08,34.0,7607.83,3435.07,16.0,0.0
31648633,2025-11,16.0,3248.01,137.5,4.0,0.0
70483030,2026-02,17.0,2191.68,192.24,8.0,1.0
54071131,2026-02,7.0,3978.07,223.65,5.0,1.0
27148853,2026-03,27.0,3471.7,127.05,14.0,2.0
65294127,2026-04,37.0,4231.88,871.51,16.0,1.0
97278768,2026-04,26.0,-12000.0,1889.88,20.0,0.0
54787253,2026-02,19.0,726.87,194.27,6.0,0.0
57071394,2026-05,40.0,7696.05,4273.8,29.0,0.0
85346335,2025-06,34.0,2474.4,1050.46,28.0,0.0
88424833,2026-05,31.0,4103.57,1237.97,14.0,1.0
31468762,2026-05,30.0,4686.39,271.78,21.0,0.0
21882128,2026-04,17.0,3748.49,1059.46,4.0,1.0
18566747,2026-05,22.0,4302.79,937.72,17.0,1.0
93310729,2025-07,23.0,4478.88,1258.42,17.0,0.0
54757309,2026-01,26.0,1692.86,897.33,22.0,0.0
36037989,2026-02,39.0,2868.04,630.98,18.0,2.0
18501562,2025-06,27.0,3769.23,1898.75,5.0,0.0
97509673,2026-02,36.0,4636.34,2989.81,18.0,0.0
24616467,2025/11,52.0,4670.47,1499.55,32.0,0.0
77144943,2025-06,29.0,3740.45,975.77,12.0,0.0
64138686,2026-04,38.0,2455.56,1145.49,25.0,2.0
92118439,2025-12,28.0,1621.59,491.49,19.0,1.0
61441181,2025-09,28.0,4074.16,1112.84,10.0,2.0
75441808,2025-08,42.0,2294.9,1620.97,26.0,0.0
55216708,2025-07,14.0,,690.06,13.0,0.0
95651093,2026-02,49.0,9198.82,3092.52,50.0,0.0
37119606,2025-11,26.0,4645.72,638.36,10.0,1.0
89452541,2026-05,32.0,6067.33,2322.87,26.0,0.0
54346265,2025-08,15.0,4188.74,209.99,12.0,0.0
35399002,2025-07,20.0,3027.76,1211.02,15.0,1.0
67828111,2026-03,54.0,4284.03,1148.99,41.0,0.0
16902922,2025-07,18.0,2825.74,406.11,7.0,0.0
18103872,2026-05,22.0,3248.86,805.93,19.0,0.0
46435667,2025-09,33.0,3793.85,623.7,21.0,1.0
60035065,2025-08,19.0,3230.08,635.58,14.0,0.0
68577024,2026-03,37.0,4909.25,1294.94,26.0,0.0
40841799,2026-01,38.0,3033.42,1955.8,28.0,1.0
49082062,2026-04,10.0,1544.92,152.71,5.0,1.0
82748105,2025-09,10.0,1421.21,382.23,1.0,0.0
86198932,2026-01,30.0,2385.91,,18.0,1.0
64373328,2025-12,42.0,4508.73,1496.48,14.0,1.0
50939966,2025-10,31.0,4876.33,1090.59,21.0,0.0
77521931,2026-03,11.0,1679.91,306.22,8.0,0.0
31239297,2025-09,23.0,4022.42,614.15,6.0,0.0
94226562,2025-07,28.0,3265.77,283.58,19.0,0.0
94196367,2026-03,38.0,3088.13,1034.72,36.0,0.0
88008839,2026-05,37.0,3876.53,931.0,7.0,1.0
79347615,2025-11,45.0,,1367.16,32.0,0.0
79174673,2025-11,35.0,5263.04,1981.22,18.0,0.0
10051130,2026-03,47.0,2683.72,913.86,30.0,0.0
88163384,2026-05,18.0,2777.08,338.75,9.0,0.0
95138354,2026-04,,3515.57,930.09,18.0,1.0
62220746,2026-04,22.0,2403.05,177.49,8.0,0.0
14136637,2025-07,38.0,2878.03,1085.95,18.0,1.0
82058717,2026-05,24.0,1024.71,518.55,13.0,0.0
38480919,2026/01,43.0,4485.76,1921.98,22.0,0.0
24068666,2025-06,36.0,2025.74,590.35,14.0,3.0
88008839,2025-12,43.0,3429.79,2710.48,25.0,0.0
60698448,2026-04,30.0,3400.83,1015.63,7.0,0.0
63612232,2026-01,40.0,6089.76,1688.08,31.0,2.0
44449864,2025-09,15.0,3073.31,237.28,3.0,0.0
59254749,2025-09,25.0,2180.27,337.58,8.0,1.0
54487367,2025-11,22.0,3619.03,760.96,24.0,0.0
45780222,2025-12,29.0,2276.59,511.54,10.0,0.0
36921122,2026-04,28.0,1629.02,795.52,21.0,0.0
56894059,2026-05,25.0,1099.68,525.7,17.0,0.0
26262338,2026-02,36.0,326.04,663.18,28.0,0.0
68234550,2026-05,42.0,2580.83,2339.5133785802104,29.0,1.0
19254335,2026-02,47.0,4556.24,2626.56,32.0,0.0
46903659,2026-04,23.0,5159.62,919.48,13.0,0.0
92700219,2025-09,37.0,2564.58,685.71,30.0,0.0
68164499,2025-09,28.0,2313.44,430.56,,1.0
57674322,2025-11,39.0,2982.12,,14.0,0.0
74970095,2026-01,29.0,2803.98,553.81,16.0,0.0
