customer_id,age,tenure_months,region,income,number_of_products,complaint_count,churned
42416431,36.0,15,London,90300.0,2.0,0,No
90321228,50.0,102, England - North West ,25900.0,3.0,0,No
78766521,35.0,36,England - South West,24900.0,2.0,0,No
66911344,66.0,73,England - London,17600.0,3.0,0,No
16182082,36.0,18,England - North West,33500.0,1.0,0,No
82099093,35.0,0,Wales,51600.0,1.0,0,No
49493103,36.0,25,England - West Midlands,24400.0,1.0,0,No
42190726,55.0,75,England - South West,30700.0,3.0,2,No
49935873,36.0,25,England - London,45500.0,2.0,0,No
38683722,32.0,38,England - London,37600.0,2.0,0,No
66722401,,76,England - South West,29800.0,3.0,0,No
61518905,34.0,0,England - South East,50300.0,2.0,1,No
49109329,67.0,64,England - North West,36700.0,1.0,0,No
20680885,120.0,27,England - South West,29000.0,2.0,0,No
50939966,31.0,13,England - South East,55500.0,3.0,1,No
29056684,38.0,47,England - South East,40800.0,2.0,0,No
67818779,25.0,0,England - North East,40000.0,1.0,0,No
68287578,59.0,34,England - South East,50900.0,2.0,0,No
14627582,34.0,0,England - London,19000.0,1.0,0,No
23589379,18.0,0,England - West Midlands,15700.0,1.0,1,No
50336944,39.0,16,England - North West,53200.0,2.0,1,No
77317641,49.0,37,England - South West,72600.0,3.0,0,No
96885152,,29,England - London,25700.0,1.0,1,No
77203458,65.0,29,England - Yorkshire and Humber,79200.0,2.0,0,No
84677201,34.0,0,England - South East,34500.0,2.0,1,No
87566184,38.0,57,England - North West,46900.0,4.0,0,No
11559050,45.0,38,south east,51700.0,2.0,0,Yes
42798643,82.0,135,Northern Ireland,13800.0,4.0,0,No
52062225,49.0,94,England - South West,56100.0,3.0,1,No
58073198,,107,England - North West,46800.0,2.0,0,Yes
69100149,47.0,34,England - North West,51400.0,3.0,1,No
53463397,40.0,57,England - West Midlands,36800.0,1.0,1,No
94196367,33.0,36,England - South West,13800.0,3.0,1,No
50981403,23.0,19,England - West Midlands,14300.0,2.0,0,No
41485520,33.0,18,England - London,36000.0,2.0,0,No
13254493,33.0,50,England - Yorkshire and Humber,22200.0,1.0,1,Yes
85007581,53.0,46,England - West Midlands,50100.0,3.0,1,No
36016761,34.0,46,west midlands,42100.0,2.0,2,No
26331317,18.0,0,England - Yorkshire and Humber,38000.0,1.0,1,No
47972886,50.0,48,England - North West,24900.0,1.0,1,No
94815461,71.0,108,England - London,22300.0,4.0,2,No
48611375,29.0,20,England - Yorkshire and Humber,63800.0,3.0,0,No
37024110,51.0,15,England - Yorkshire and Humber,24100.0,3.0,0,No
52799526,63.0,90,England - South East,25200.0,2.0,1,No
42790502,25.0,0,England - West Midlands,38300.0,2.0,0,Yes
72685039,43.0,47,Wales,39500.0,2.0,1,No
17149831,21.0,32,Scotland,22700.0,2.0,0,No
28401634,31.0,60,England - West Midlands,,2.0,0,No
96264882,46.0,48,Northern Ireland,40300.0,2.0,0,No
15456210,71.0,76, England - Yorkshire and Humber ,61900.0,1.0,0,No
29244589,33.0,48,England - London,37000.0,1.0,0,YES
13163092,58.0,103,Wales,24600.0,3.0,0,No
40799091,41.0,38,England - South West,39200.0,2.0,1,No
55158466,51.0,57,England - Yorkshire and Humber,15300.0,2.0,0,No
72144598,62.0,44,England - North East,31200.0,2.0,1,No
48044982,18.0,23,England - North West,24300.0,2.0,0,No
54757309,18.0,28,England - North West,29500.0,2.0,0,No
50930172,41.0,44,Northern Ireland,15900.0,2.0,0,No
24845826,62.0,65,England - London,61800.0,3.0,1,No
85983646,50.0,74,England - West Midlands,80500.0,4.0,0,No
88055229,21.0,0,England - South East,,1.0,1,No
23708944,66.0,110,England - Yorkshire and Humber,20100.0,1.0,1,No
86407112,18.0,0,England - London,17900.0,1.0,1,No
20809774,67.0,49,scotland,53500.0,1.0,0,No
27071456,43.0,31,England - South West,44500.0,1.0,0,No
36629840,27.0,23,Scotland,26200.0,1.0,0,No
78776985,18.0,1,England - South West,18400.0,1.0,0,No
62649403,30.0,4, England - South West ,70400.0,1.0,2,No
32289385,50.0,40,England - North West,34300.0,3.0,0,No
57077280,52.0,19,England - London,30500.0,2.0,0,No
93470961,18.0,11,,41700.0,2.0,1,No
26519262,56.0,30,England - South West,51300.0,3.0,0,No
53033470,38.0,14,England - West Midlands,16700.0,2.0,2,No
28211203,38.0,56,England - West Midlands,32700.0,2.0,0,No
50187667,27.0,0,England - South East,57500.0,1.0,0,No
21942733,61.0,90,England - London,51200.0,4.0,0,No
37287790,32.0,43,Scotland,35100.0,1.0,0,No
73433904,,0,England - South East,44900.0,1.0,1,No
81525697,59.0,77,England - London,63000.0,1.0,0,No
68724630,29.0,47,England - South East,,3.0,0,No
67739651,18.0,12,England - London,27300.0,2.0,0,No
73636037,34.0,42,England - North West,17900.0,3.0,0,No
42457713,41.0,22,England - South East,40000.0,2.0,1,No
82122859,48.0,67,Wales,51600.0,3.0,0,No
52973710,56.0,73,England - London,65400.0,2.0,0,No
77776400,33.0,29,England - South West,32100.0,1.0,1,No
36651936,22.0,16,London,23800.0,1.0,2,Yes
40679632,42.0,49,England - South West,24300.0,3.0,0,No
81826145,54.0,79,England - South West,58500.0,3.0,0,No
50848676,30.0,39,England - North East,45500.0,2.0,2,No
57222786,45.0,11,England - South East,56200.0,3.0,0,No
23478001,51.0,36,England - West Midlands,14200.0,1.0,2,Yes
20814489,73.0,44,England - North West,24800.0,2.0,0,No
43296306,39.0,54,England - North West,59200.0,2.0,0,No
33267680,42.0,4,England - London,67300.0,2.0,0,No
99123718,29.0,18,England - West Midlands,40300.0,2.0,1,No
96325343,18.0,16,Wales,32300.0,1.0,0,Yes
97328214,48.0,59,England - South East,35000.0,2.0,0,No
77738765,39.0,63,England - North West,24000.0,,1,Yes
32334147,44.0,24,England - South East,27900.0,3.0,0,No
52673257,24.0,31,England - North East,12800.0,3.0,0,No
72469963,44.0,84,England - South East,22500.0,2.0,0,No
90900968,21.0,35,England - West Midlands,22300.0,2.0,0,Yes
27533095,46.0,27,England - Yorkshire and Humber,29400.0,1.0,0,Yes
52152715,46.0,68,England - South West,43500.0,1.0,0,No
36581067,26.0,27,England - South East,45500.0,3.0,0,No
85569030,34.0,22,England - South East,31000.0,1.0,0,No
26671644,46.0,72,England - Yorkshire and Humber,51700.0,2.0,0,No
95603492,32.0,51,England - West Midlands,32900.0,2.0,0,No
66584690,42.0,34,Northern Ireland,23900.0,2.0,0,No
84472003,45.0,70,England - West Midlands,43800.0,2.0,1,No
33324039,39.0,65,England - Yorkshire and Humber,83400.0,2.0,1,No
